Code,Area,Inner-Outer,Population,Household,Inland Area (Hectares),Population density (per hectare),Average Age,% of resident population born abroad (2013),Largest migrant population by country of birth (2011),% of largest migrant population (2011),Second largest migrant population by country of birth (2011),% of second largest migrant population (2011),Third largest migrant population by country of birth (2011),% of third largest migrant population (2011),"Gross Annual Pay, (2014)",Crime rates per thousand population 2013/14,"Average Band D Council Tax charge (£), 2014/15","% of area that is Greenspace, 2005",Total carbon emissions (2012),"Household Waste Recycling Rate, 2013/14","Number of cars, (2011 Census)","Number of cars per household, (2011 Census)","% of adults who cycle at least once per month, 2012/13","Average Public Transport Accessibility score, 2012",Life satisfaction score 2013-14 (out of 10),Happiness score 2013-14 (out of 10),Avg House Prices (1995)
E09000024,Merton,Outer London,205100.00,80393.00,3762.50,54.50,36.30,38.90,Poland,3.5,Sri Lanka,3.2,South Africa,2.8,"£27,684",65.82,"1,406",34.6,881.3,38.9,"72,777",0.9,14.8,3.4,7.52,7.17,74450
E09000025,Newham,Inner London,331400.00,111159.00,3619.80,91.60,31.40,49.60,India,8.7,Bangladesh,6.8,Pakistan,5.3,"£29,076",99.66,"1,245",23.9,"1,531.90",17.7,"61,092",0.6,6.4,3.9,7.31,7.5,46750
E09000026,Redbridge,Outer London,289900.00,102680.00,5641.90,51.40,35.50,38.00,India,7.6,Pakistan,5.3,Sri Lanka,2.6,"£31,015",77.77,"1,395",40.6,985.2,29.3,"106,339",1.1,9.8,3,7.45,7.24,67995
E09000027,Richmond upon Thames,Outer London,190900.00,81046.00,5740.70,33.30,38.30,22.80,Ireland,1.8,South Africa,1.4,United States,1.4,"£31,529",61.68,"1,586",50.8,905.2,43.3,"84,918",1.1,33.7,3,7.56,7.54,108000
E09000028,Southwark,Inner London,304100.00,127110.00,2886.20,105.40,33.80,36.50,Nigeria,4.7,Jamaica,2,Ireland,1.7,"£34,745",109.72,"1,211",24.9,"1,568.60",34.3,"60,438",0.5,21,4.7,7.56,7.27,71000
E09000029,Sutton,Outer London,195600.00,79536.00,4384.70,44.60,38.30,21.20,Sri Lanka,1.8,India,1.7,Ireland,1.2,"£25,791",57.11,"1,440",32,819.7,37.1,"91,266",1.2,9.6,2.7,7.43,7.25,67000
E09000030,Tower Hamlets,Inner London,277900.00,110630.00,1978.10,140.50,31.10,42.50,Bangladesh,15.3,India,1.5,China,1.4,"£48,630",106.57,"1,185",15.2,"2,263.40",28,"43,589",0.4,16.7,4.7,7.46,7.45,67500
E09000031,Waltham Forest,Outer London,268800.00,100407.00,3880.80,69.30,34.50,39.70,Pakistan,4.9,Poland,3.2,Romania,1.7,"£26,682",92.09,"1,451",31.4,904.7,32.6,"76,217",0.8,15.6,3.5,7.3,7.11,55000
E09000032,Wandsworth,Inner London,319300.00,134215.00,3426.40,93.20,34.40,28.10,Poland,2.2,South Africa,2.1,Ireland,1.9,"£31,259",81.94,687,26.9,"1,222.00",20.4,"89,513",0.7,22.4,4.2,7.43,7.51,85500
E09000033,City Of Westminster,Inner London,228200.00,104328.00,2148.70,106.20,36.70,50.90,United States,3.6,France,2.6,Iraq,2.1,"£37,130",273.38,678,38.2,"3,222.40",21.1,"48,810",0.5,17.6,6.3,7.5,7.11,127550
